Points_num,Min_date,Max_date,date2012_p,date2013_p,date2014_p,date2015_p,date2016_p,date2017_p,date2018_p,date2019_p,date2020_p,date2021_p,CONTINENT,area,Type,Nation,Locations,ORIG_FID,geometry
551,2012-04-11,2020-05-29,20,3,0,6,105,98,189,128,2,0,Sea,0.0316468,0,India,"[70.4441200000000,22.9600516888334;70.4469229665565,22.9620400000000]",1413,POINT (70.4450543221855 22.96137722961114)
172,2016-04-16,2019-07-19,0,0,0,0,124,43,3,2,0,0,Sea,0.195766,0,India,"[70.1013300000000,22.9215500000001;70.1107300000000,22.9239339004230]",1414,POINT (70.10650055190906 22.922494200094416)
161,2012-11-08,2018-09-24,3,6,73,0,31,29,19,0,0,0,Sea,1.08036,0,India,"[72.6631200000001,21.1604000000000;72.6740100000000,21.1706800000000]",1426,POINT (72.66798911318143 21.166210319441202)
107,2014-02-13,0201-12-12,0,0,2,89,13,1,1,0,1,0,Sea,0.360586,0,India,"[72.5359200000000,21.6669800000000;72.5442200000000,21.6724243845902]",1427,POINT (72.53946661254253 21.668995640684034)
582,2012-01-28,0202-10-30,67,36,48,45,48,92,84,158,2,2,Sea,0.0149685,0,India,"[72.9094480539824,19.0095600000000;72.9110600000001,19.0111535587727]",1435,POINT (72.91052268466086 19.01009118625758)
258,2012-01-20,2019-12-08,29,15,90,8,17,35,14,50,0,0,Sea,0.0914188,0,India,"[72.8857600000000,19.0160200000000;72.8877502937086,19.0239026104902]",1436,POINT (72.8864234312362 19.0186475368301)
251,2012-02-26,0201-12-13,104,12,0,0,27,5,0,86,17,0,Sea,0.549896,0,India,"[80.3220100000000,13.2394900000000;80.3287300000001,13.2479034199073]",1486,POINT (80.32514068440187 13.24295037400948)
309,2019-02-28,0202-10-30,0,0,0,0,0,0,0,102,127,80,Sea,0.431543,0,India,"[80.3395200000000,13.2865200000000;80.3461700000000,13.2921100000000]",1487,POINT (80.34294639732052 13.289262593161162)
15,2018-08-04,2019-07-12,0,0,0,0,0,0,2,13,0,0,Sea,0.0592357,0,India,"[83.2718700000000,17.7131800000000;83.2761928833841,17.7155143576647]",1490,POINT (83.27331096112806 17.71395811922156)
202,2012-01-20,2019-05-31,41,66,55,30,0,3,3,4,0,0,Sea,0.169737,0,India,"[83.2592000000000,17.7143700000000;83.2644800000000,17.7172594222698]",1491,POINT (83.26188857350816 17.71574052902714)
1250,2012-03-18,2019-07-11,74,209,562,126,212,51,4,12,0,0,Sea,1.25303,0,India,"[83.2129012380001,17.6228200000000;83.2265500000000,17.6349144550001]",1492,POINT (83.22165002399275 17.629828962217445)
768,2012-03-03,2019-05-23,180,573,0,0,3,0,0,12,0,0,Sea,1.10912,0,India,"[86.9586384260067,20.8170100000000;86.9688600000000,20.8284200000000]",1494,POINT (86.96457954855691 20.823117857400337)
5439,2012-01-20,2019-12-31,572,614,698,652,640,760,800,703,0,0,Sea,0.105864,0,India,"[88.1270929142584,22.0485100000000;88.1317400000000,22.0524959671603]",1495,POINT (88.13019097141945 22.049838655720105)
1015,2013-10-12,0202-10-31,0,82,79,323,79,74,215,85,31,47,Sea,1.81167,0,India,"[93.8577000000000,12.2758300000000;93.8695800000000,12.2906200000000]",1519,POINT (93.8640698725756 12.28414749060815)
201,2012-05-01,2019-07-16,4,1,0,3,65,46,18,64,0,0,Asia,0.348333,0,India,"[70.4439756299086,22.9551291045206;70.4606883514280,22.9617979316877]",11932,POINT (70.45163909196451 22.95838932091748)
153,2016-04-16,2019-07-19,0,0,0,0,110,38,3,2,0,0,Asia,0.830554,0,India,"[70.1021321007726,22.9192207519613;70.1092228945701,22.9320698413927]",11933,POINT (70.10534155704566 22.92541492613954)
19,2013-06-20,2018-02-03,0,1,9,0,4,2,3,0,0,0,Asia,0.191014,0,India,"[72.6666955361961,21.1604000000001;72.6740100000000,21.1653202966089]",11999,POINT (72.67157184539869 21.162040098869713)
12,2014-02-27,2016-06-27,0,0,1,10,1,0,0,0,0,0,Asia,0.308775,0,India,"[72.5333361814110,21.6702611211819;72.5388922228596,21.6758350085879]",12000,POINT (72.53613529735074 21.67297213685419)
568,2012-01-28,2019-09-05,67,34,47,44,47,92,83,154,0,0,Asia,0.902882,0,India,"[72.8998600000000,19.0095600000001;72.9110600000000,19.0173400000001]",12001,POINT (72.90561871837393 19.013366967187267)
754,2012-03-03,2019-05-23,178,561,0,0,3,0,0,12,0,0,Asia,1.145,0,India,"[86.9571800000001,20.8170016802084;86.9667952214659,20.8284200000001]",12141,POINT (86.96203005323846 20.822746758808307)
4210,2012-01-20,2019-09-05,513,466,618,487,490,526,547,563,0,0,Asia,1.13112,0,India,"[88.1159789508939,22.0470141513251;88.1317400000000,22.0592564782002]",12142,POINT (88.12384407627762 22.05347167408858)
57,2015-03-18,2018-09-11,0,0,0,25,1,0,31,0,0,0,Asia,0.315815,1,India,"[93.8577000000001,12.2758300000001;93.8659185731285,12.2811953800001]",12167,POINT (93.86106873219768 12.277707154635404)
0,2013-12-18,2021-02-02,0,90,87,298,81,85,243,88,31,52,Asia,2.55976,1,India,"[93.8522110235765,12.2766567780334;93.8669181526962,12.2911192120201]",18249,POINT (93.85956458813635 12.28388799502676)
42,2015-03-18,2018-11-02,0,0,0,0,0,0,0,0,0,0,Asia,0.289359,0,India,"[93.8586900000000,12.2770400000000;93.8627500000000,12.2809200000000]",20183,POINT (93.86072 12.27898)
46,2013-08-22,2016-01-09,0,0,11,5,2,0,0,0,0,0,Asia,0.383784,0,India,"[77.5135700000000,13.7033700000000;77.5203200000000,13.7075700000000]",20184,POINT (77.51694499999999 13.70547)
47,2016-01-01,2021-03-16,0,0,0,0,5,6,5,1,0,2,Asia,0.139071,0,India,"[76.8479500000000,14.9899900000000;76.8511200000000,14.9932800000000]",20185,POINT (76.849535 14.991635)
222,2012-01-25,2017-02-23,13,13,36,22,14,2,0,0,0,0,Asia,0.3327,0,India,"[76.9968500000000,15.0025000000000;77.0016400000000,15.0077000000000]",20186,POINT (76.999245 15.005099999999999)
555,2015-06-05,2021-08-09,0,0,0,21,61,40,58,27,25,25,Asia,0.619665,0,India,"[78.0495600000000,14.8700200000000;78.0567900000000,14.8763500000000]",20187,POINT (78.05317500000001 14.873185)
99,2012-01-24,2021-07-06,13,13,5,2,0,0,4,8,3,2,Asia,0.158552,0,India,"[78.0738200000000,14.9500000000000;78.0776600000000,14.9530500000000]",20188,POINT (78.07574 14.951525)
381,2012-02-10,2021-02-06,20,20,32,31,12,23,15,13,10,25,Asia,0.477972,0,India,"[79.6226000000000,13.7125000000000;79.6276300000000,13.7193300000000]",20189,POINT (79.625115 13.715915)
90,2013-08-08,2019-01-31,0,0,4,21,12,5,1,1,0,0,Asia,0.236416,0,India,"[79.6171600000000,13.7068300000000;79.6206000000000,13.7117700000000]",20190,POINT (79.61887999999999 13.7093)
759,2012-01-20,2021-07-28,70,70,41,119,89,0,3,6,2,6,Asia,0.691034,0,India,"[81.9695900000000,16.4126500000000;81.9766400000000,16.4195800000000]",20191,POINT (81.973115 16.416114999999998)
633,2012-02-16,2021-03-11,17,17,75,107,10,8,36,24,6,3,Asia,0.676184,0,India,"[82.0848100000000,16.4806900000000;82.0917100000000,16.4876100000000]",20192,POINT (82.08826 16.48415)
165,2012-01-26,2021-03-06,5,5,5,10,12,16,7,9,12,5,Asia,0.324148,0,India,"[81.9566300000000,16.8800800000000;81.9608500000000,16.8855300000000]",20193,POINT (81.95873999999999 16.882804999999998)
1201,2015-12-16,2020-02-21,0,0,0,13,209,97,124,45,21,0,Asia,0.655214,0,India,"[81.9180700000000,16.4062900000000;81.9251800000000,16.4128100000000]",20194,POINT (81.921625 16.40955)
161,2015-01-27,2020-03-10,0,0,0,40,3,1,16,6,1,0,Asia,0.325036,0,India,"[81.8925400000000,16.4976300000000;81.8974800000000,16.5022900000000]",20195,POINT (81.89501 16.49996)
153,2012-01-24,2021-02-12,14,14,3,2,1,10,17,3,0,2,Asia,0.208174,0,India,"[79.8955400000000,16.4889500000000;79.8993500000000,16.4929300000000]",20196,POINT (79.897445 16.490940000000002)
77,2012-01-20,2021-03-11,14,14,4,1,2,0,0,1,0,3,Asia,0.152367,0,India,"[79.5009200000000,16.6227600000000;79.5046800000000,16.6257300000000]",20197,POINT (79.5028 16.624245000000002)
101,2013-09-11,2021-03-01,0,0,18,0,0,0,0,18,31,10,Asia,0.248571,0,India,"[80.9361800000000,15.9609700000000;80.9413200000000,15.9644300000000]",20198,POINT (80.93875 15.9627)
112,2012-11-23,2021-03-16,5,5,7,11,7,5,5,1,9,14,Asia,0.081917,0,India,"[80.0365800000000,16.8307200000000;80.0386600000000,16.8335900000000]",20199,POINT (80.03762 16.832155)
498,2012-12-02,2021-02-15,1,1,26,19,26,23,21,63,55,58,Asia,0.338128,0,India,"[80.0199100000000,16.8691000000000;80.0246600000000,16.8742900000000]",20200,POINT (80.022285 16.871695)
59,2012-02-15,2021-08-07,8,8,1,3,0,0,0,5,4,7,Asia,0.121829,0,India,"[80.1195500000000,16.8735200000000;80.1222300000000,16.8768300000000]",20201,POINT (80.12089 16.875175)
412,2013-11-12,2021-01-01,0,0,0,6,0,14,55,83,27,39,Asia,0.196325,0,India,"[77.3612000000000,15.9131000000000;77.3647800000000,15.9172100000000]",20202,POINT (77.36299 15.915155)
